年月日,国内株式,国内債券,国内リート,先進国株式,先進国債券,先進国リート,新興国株式,新興国債券,全世界株式
2018-10-31,10845,10328,15549,14947,10892,14759,13949,10701,10000
2018-11-01,10750,10328,15638,15068,10833,14545,14175,10612,10077
2018-11-02,10928,10324,15629,15247,10891,14644,14459,10728,10209
2018-11-05,10807,10322,15670,15243,10900,14572,14845,10832,10228
2018-11-06,10934,10320,15720,15293,10918,14726,14782,10898,10259
2018-11-07,10888,10322,15804,15361,10927,14814,14782,10928,10293
2018-11-08,11077,10321,15845,15681,10957,15055,14949,11006,10494
2018-11-09,11022,10323,15709,15697,10951,15129,14887,10961,10493
2018-11-12,11015,10328,15901,15543,10937,15112,14625,10889,10388
2018-11-13,10794,10333,15868,15230,10875,15036,14419,10790,10187
2018-11-14,10813,10339,15898,15299,10940,15113,14487,10807,10232
2018-11-15,10798,10341,15975,15163,10921,15041,14475,10832,10156
2018-11-16,10734,10343,15910,15253,10928,14895,14671,10887,10217
2018-11-19,10789,10359,15988,15176,10885,14895,14634,10885,10176
2018-11-20,10712,10350,15980,14973,10892,14893,14630,10891,10059
2018-11-21,10647,10360,15946,14734,10878,14796,14414,10851,9907
2018-11-22,10734,10360,15985,14854,10912,14865,14512,10920,9987
2018-11-26,10755,10366,16078,14755,10906,14859,14395,10900,9925
2018-11-27,10834,10368,16159,15020,10947,14941,14555,10895,10087
2018-11-28,10896,10356,16250,15060,10954,15013,14667,10922,10122
2018-11-29,10933,10373,16094,15311,10979,15138,14865,10959,10277
2018-11-30,10986,10370,16212,15290,10988,15072,14890,11022,10271
2018-12-03,11129,10374,16191,15372,10992,15137,14888,11039,10325
2018-12-04,10866,10392,16210,15547,11010,15218,15179,11067,10426
2018-12-05,10808,10386,16209,15060,10968,14925,15008,10945,10143
2018-12-06,10611,10395,16192,15017,10978,14925,14871,10937,10096
2018-12-07,10676,10384,16268,14870,10998,15184,14544,10897,9995
2018-12-10,10474,10398,16027,14623,10988,15056,14476,10899,9842
2018-12-11,10380,10396,15989,14627,11034,14978,14290,10875,9824
2018-12-12,10587,10392,16035,14718,11052,15057,14399,10923,9897
2018-12-13,10652,10390,16097,14839,11052,14895,14599,10973,9983
2018-12-14,10491,10405,16224,14859,11066,14961,14714,10978,9992
2018-12-17,10504,10411,16231,14599,11042,14911,14491,10920,9835
2018-12-18,10295,10421,16107,14273,11001,14415,14350,10897,9633
2018-12-19,10253,10415,16037,14212,11008,14458,14260,10882,9588
2018-12-20,9995,10430,15866,14081,11036,14336,14271,10914,9501
2018-12-21,9804,10414,15689,13734,10948,14044,14055,10842,9283
2018-12-25,9325,10439,15533,13091,10805,13312,13779,10676,8878
2018-12-26,9448,10433,15761,13167,10869,13386,13814,10721,8929
2018-12-27,9909,10427,15835,13649,10885,13759,13911,10772,9230
2018-12-28,9860,10448,15910,13695,10918,13731,13926,10810,9254
2019-01-04,9708,10489,15705,13179,10637,13199,13460,10607,8926
2019-01-07,9982,10468,15897,13712,10700,13493,13804,10812,9261
2019-01-08,10020,10455,15905,13835,10742,13642,13983,10885,9346
2019-01-09,10130,10443,16030,13949,10709,13893,13958,10838,9414
2019-01-10,10044,10451,16087,13991,10709,13856,14175,10851,9448
2019-01-11,10095,10460,16222,14073,10718,14027,14248,10885,9504
2019-01-15,10180,10460,16020,13988,10721,14037,14161,10899,9456
2019-01-16,10147,10467,16138,14105,10704,14148,14330,10886,9531
2019-01-17,10182,10468,16204,14207,10748,14318,14475,10988,9600
2019-01-18,10278,10465,16255,14343,10785,14424,14534,10989,9685
2019-01-21,10336,10468,16273,14563,10786,14498,14672,11010,9820
2019-01-22,10270,10474,16267,14562,10785,14485,14688,10978,9816
2019-01-23,10208,10476,16143,14367,10788,14426,14539,10926,9694
2019-01-24,10245,10477,16228,14399,10809,14479,14596,11008,9718
2019-01-25,10334,10486,16392,14438,10837,14520,14721,11033,9756
2019-01-28,10264,10488,16465,14533,10838,14682,14864,11062,9814
2019-01-29,10275,10485,16623,14400,10821,14783,14769,11022,9735
2019-01-30,10234,10483,16513,14442,10858,14956,14811,11071,9759
2019-01-31,10343,10490,16635,14580,10847,15024,14902,11101,9848
2019-02-01,10324,10519,16655,14665,10860,15088,15062,11203,9905
2019-02-04,10435,10510,16681,14767,10893,15064,15131,11272,9973
2019-02-05,10445,10513,16650,14899,10914,15233,15162,11308,10047
2019-02-06,10439,10513,16603,14984,10893,15271,15226,11300,10098
2019-02-07,10353,10501,16539,14953,10875,15211,15159,11270,10070
2019-02-08,10157,10523,16493,14788,10872,15298,15051,11222,9958
2019-02-12,10377,10508,16498,14889,10912,15416,15054,11211,10029
2019-02-13,10487,10500,16533,15060,10928,15311,15179,11251,10140
2019-02-14,10490,10505,16543,15153,10939,15383,15195,11205,10192
2019-02-15,10408,10519,16489,15057,10911,15298,15134,11166,10128
2019-02-18,10570,10519,16441,15245,10934,15400,15009,11212,10232
2019-02-19,10601,10524,16576,15250,10933,15411,15076,11208,10243
2019-02-20,10646,10528,16594,15317,10992,15471,15126,11267,10286
2019-02-21,10646,10534,16580,15357,10978,15373,15277,11269,10321
2019-02-22,10620,10531,16653,15318,10965,15392,15317,11243,10301
2019-02-25,10695,10526,16709,15411,10995,15499,15456,11292,10368
2019-02-26,10674,10514,16768,15474,11023,15454,15610,11327,10413
2019-02-27,10696,10511,16757,15423,11013,15380,15524,11314,10380
2019-02-28,10611,10510,16714,15452,10999,15350,15500,11343,10387
2019-03-01,10664,10498,16635,15512,11046,15452,15438,11370,10418
2019-03-04,10742,10486,16714,15668,11077,15470,15503,11376,10513
2019-03-05,10687,10482,16769,15604,11064,15499,15520,11349,10477
2019-03-06,10661,10492,16701,15563,11035,15516,15528,11339,10452
2019-03-07,10571,10500,16681,15483,11063,15438,15520,11293,10402
2019-03-08,10378,10525,16573,15335,11039,15389,15308,11194,10292
2019-03-11,10438,10526,16723,15196,10995,15313,15046,11152,10200
2019-03-12,10597,10521,16751,15473,11069,15549,15304,11245,10382
2019-03-13,10508,10535,16768,15484,11065,15588,15407,11255,10390
2019-03-14,10484,10536,16905,15601,11085,15653,15399,11272,10452
2019-03-15,10578,10530,16951,15699,11131,15779,15453,11302,10516
2019-03-18,10651,10530,17006,15741,11121,15683,15539,11331,10550
2019-03-19,10627,10540,17110,15772,11113,15591,15676,11343,10577
2019-03-20,10655,10533,17140,15832,11137,15589,15734,11381,10616
2019-03-22,10673,10566,17136,15764,11106,15701,15599,11380,10570
2019-03-25,10411,10582,17058,15359,11043,15502,15318,11151,10309
2019-03-26,10677,10557,17154,15383,11098,15558,15205,11233,10330
2019-03-27,10737,10558,17478,15520,11106,15745,15281,11226,10415
2019-03-28,10560,10592,17366,15435,11106,15672,15159,11094,10348
2019-03-29,10618,10587,17252,15558,11144,15861,15296,11149,10429
2019-04-01,10777,10570,17064,15674,11144,15838,15486,11174,10519
2019-04-02,10751,10559,17072,15896,11135,15921,15714,11309,10656
2019-04-03,10819,10561,17041,15935,11164,16009,15745,11299,10684
2019-04-04,10806,10553,17014,16012,11151,16033,15862,11317,10734
2019-04-05,10844,10542,17006,16051,11170,16023,15917,11351,10763
2019-04-08,10807,10559,17021,16058,11136,15993,15930,11332,10765
2019-04-09,10797,10556,16955,16080,11150,15929,15986,11352,10781
2019-04-10,10724,10566,16930,15963,11138,15807,16013,11330,10715
2019-04-11,10716,10573,16944,16008,11155,15978,16052,11390,10742
2019-04-12,10709,10566,16959,16107,11210,16059,15999,11404,10791
2019-04-15,10858,10547,16941,16240,11208,16154,16081,11449,10879
2019-04-16,10849,10543,17010,16238,11201,16089,16034,11431,10874
2019-04-17,10877,10526,16944,16270,11189,15841,16164,11419,10904
2019-04-18,10773,10541,17013,16237,11177,15674,16191,11422,10882
2019-04-19,10784,10532,17010,16239,11174,15762,16139,11402,10880
2019-04-22,10797,10535,17116,16237,11178,15760,16132,11409,10880
2019-04-23,10825,10540,17143,16228,11156,15581,16047,11379,10870
2019-04-24,10753,10549,17168,16348,11140,15723,16093,11353,10934
2019-04-25,10809,10537,17213,16340,11176,15909,16018,11280,10927
2019-04-26,10792,10549,17125,16253,11111,15830,15875,11195,10868
2019-05-07,10673,10560,17144,16113,11062,15844,15520,11075,10755
2019-05-08,10490,10565,17095,15802,11032,15550,15344,10971,10560
2019-05-09,10346,10561,17042,15762,11006,15472,15239,10976,10520
2019-05-10,10337,10559,17124,15657,11004,15493,14913,10953,10437
2019-05-13,10284,10555,17137,15699,10997,15612,14953,11000,10460
2019-05-14,10242,10560,17157,15339,10983,15553,14657,10907,10237
2019-05-15,10303,10561,17273,15479,10983,15619,14666,10959,10318
2019-05-16,10260,10574,17349,15552,10991,15668,14675,10974,10356
2019-05-17,10372,10564,17424,15762,11019,15812,14656,10975,10476
2019-05-20,10376,10552,17679,15709,11042,15804,14500,10964,10435
2019-05-21,10345,10557,17590,15611,11028,15661,14449,10969,10376
2019-05-22,10317,10567,17514,15772,11052,15839,14574,11020,10471
2019-05-23,10279,10573,17664,15696,11037,15780,14525,10981,10424
2019-05-24,10284,10582,17645,15435,11038,15701,14279,10925,10263
2019-05-27,10324,10578,17575,15457,11030,15736,14275,10960,10278
2019-05-28,10348,10588,17508,15472,11030,15740,14305,10969,10291
2019-05-29,10251,10608,17694,15329,11005,15543,14255,10915,10201
2019-05-30,10222,10595,17645,15232,11050,15416,14311,10975,10151
2019-05-31,10090,10614,17413,15224,11021,15367,14364,10913,10142
2019-06-03,10002,10608,17272,14938,10983,15295,14303,10883,9976
2019-06-04,10002,10622,17293,14882,11001,15291,14407,10912,9954
2019-06-05,10210,10649,17248,15165,11020,15277,14400,10976,10119
2019-06-06,10175,10647,17374,15292,11038,15546,14395,10977,10187
2019-06-07,10225,10646,17494,15396,11082,15604,14406,11015,10247
2019-06-10,10362,10664,17442,15564,11147,15673,14470,11082,10354
2019-06-11,10418,10656,17492,15628,11106,15657,14672,11119,10409
2019-06-12,10370,10661,17539,15672,11131,15708,14854,11207,10443
2019-06-13,10285,10654,17558,15606,11097,15683,14729,11185,10392
2019-06-14,10319,10662,17647,15643,11104,15757,14679,11181,10410
2019-06-17,10273,10662,17609,15618,11110,15762,14596,11194,10387
2019-06-18,10200,10667,17626,15618,11097,15856,14551,11176,10379
2019-06-19,10376,10682,17640,15784,11138,15865,14747,11238,10497
2019-06-20,10407,10718,17764,15753,11093,15838,14886,11239,10494
2019-06-21,10314,10705,17671,15835,11098,15843,15026,11316,10544
2019-06-24,10326,10688,17610,15830,11099,15704,15006,11327,10540
2019-06-25,10297,10687,17765,15789,11118,15605,15008,11327,10516
2019-06-26,10251,10672,17752,15667,11120,15497,14895,11309,10438
2019-06-27,10378,10661,17643,15705,11143,15304,15001,11375,10476
2019-06-28,10365,10681,17666,15770,11162,15420,15124,11403,10521
2019-07-01,10591,10667,17782,15921,11216,15573,15180,11479,10623
2019-07-02,10622,10664,17885,16046,11216,15584,15324,11508,10703
2019-07-03,10552,10690,17940,15987,11169,15672,15238,11441,10660
2019-07-04,10622,10695,18029,16130,11223,15901,15210,11501,10739
2019-07-05,10640,10701,18095,16149,11232,15943,15288,11545,10757
2019-07-08,10545,10686,17959,16176,11212,15997,15293,11541,10766
2019-07-09,10521,10686,18117,16149,11249,16053,15162,11570,10739
2019-07-10,10497,10665,18179,16167,11238,16111,15127,11563,10744
2019-07-11,10546,10676,18287,16115,11172,16061,15138,11545,10720
2019-07-12,10530,10649,18181,16184,11171,15959,15249,11611,10766
2019-07-16,10479,10656,18339,16168,11135,15836,15210,11578,10750
2019-07-17,10471,10661,18378,16174,11139,15851,15290,11574,10760
2019-07-18,10250,10671,18291,16030,11134,15750,15158,11533,10656
2019-07-19,10447,10670,18342,16033,11143,15748,15113,11581,10668
2019-07-22,10397,10670,18296,16017,11161,15589,15210,11625,10664
2019-07-23,10480,10677,18253,16055,11169,15535,15180,11649,10688
2019-07-24,10521,10682,18287,16174,11155,15706,15224,11610,10759
2019-07-25,10540,10689,18257,16232,11175,15729,15221,11632,10791
2019-07-26,10497,10685,18378,16223,11209,15729,15273,11665,10788
2019-07-29,10478,10678,18304,16266,11168,15697,15176,11605,10802
2019-07-30,10525,10686,18361,16311,11222,15799,15193,11631,10831
2019-07-31,10456,10692,18421,16197,11194,15786,15114,11598,10758
2019-08-01,10471,10671,18378,16125,11231,15732,15061,11616,10716
2019-08-02,10244,10708,18429,15742,11091,15412,14622,11317,10458
2019-08-05,10059,10740,18411,15456,11050,15369,14234,11197,10258
2019-08-06,10015,10724,18498,14993,11091,15030,13708,11048,9961
2019-08-07,10020,10748,18447,15136,11126,15135,13783,11145,10044
2019-08-08,10012,10753,18479,15150,11169,15259,13777,11154,10050
2019-08-09,10046,10786,18520,15415,11115,15457,13950,11236,10210
2019-08-13,9930,10811,18601,15081,11075,15271,13695,11085,10002
2019-08-14,10016,10792,18612,15382,11169,15411,13792,11233,10178
2019-08-15,9913,10819,18756,14941,11176,15183,13632,11093,9919
2019-08-16,9923,10806,18952,14951,11236,15290,13646,11138,9927
2019-08-19,9984,10795,18996,15195,11243,15481,13790,11201,10074
2019-08-20,10066,10801,19048,15402,11211,15625,13906,11130,10201
2019-08-21,10004,10810,18989,15261,11221,15492,13914,11123,10122
2019-08-22,10008,10808,18997,15426,11235,15571,14001,11193,10219
2019-08-23,10036,10797,19021,15405,11211,15632,13879,11160,10200
2019-08-26,9875,10839,19005,14885,11100,15258,13603,10953,9885
2019-08-27,9951,10828,18919,15091,11160,15434,13585,11034,10000
2019-08-28,9956,10829,19073,15061,11196,15383,13621,10989,9987
2019-08-29,9958,10849,19111,15162,11256,15466,13671,11006,10048
2019-08-30,10102,10842,19102,15392,11265,15622,13816,11050,10194
2019-09-02,10058,10837,19070,15365,11202,15608,13942,11025,10186
2019-09-03,10096,10851,19038,15388,11204,15610,13948,11029,10202
2019-09-04,10069,10860,19203,15256,11212,15649,13791,11055,10116
2019-09-05,10253,10837,19286,15515,11282,15892,14107,11210,10295
2019-09-06,10271,10794,19435,15783,11266,15917,14346,11276,10463
2019-09-09,10364,10796,19613,15788,11287,15940,14406,11303,10477
2019-09-10,10410,10754,19465,15858,11297,16015,14515,11341,10527
2019-09-11,10582,10738,19293,15898,11275,15960,14521,11371,10562
2019-09-12,10659,10741,19212,16066,11302,16094,14712,11399,10674
2019-09-13,10757,10690,19473,16148,11333,16133,14817,11508,10734
2019-09-17,10789,10686,19355,16081,11272,16102,14839,11461,10702
2019-09-18,10736,10712,19330,16130,11301,16235,14753,11457,10717
2019-09-19,10797,10743,19427,16145,11334,16223,14792,11477,10731
2019-09-20,10800,10724,19575,16125,11315,16191,14679,11431,10712
2019-09-24,10845,10738,19544,15975,11310,16148,14625,11375,10629
2019-09-25,10825,10744,19753,15796,11293,16043,14479,11314,10519
2019-09-26,10847,10746,19852,15906,11284,16172,14494,11350,10580
2019-09-27,10822,10747,20012,15908,11299,16313,14538,11340,10584
2019-09-30,10713,10722,19983,15886,11319,16289,14443,11344,10556
2019-10-01,10816,10659,19864,15975,11326,16340,14487,11384,10615
2019-10-02,10769,10686,19938,15737,11300,16154,14381,11289,10474
2019-10-03,10584,10721,19999,15341,11245,15990,14176,11256,10231
2019-10-04,10611,10734,20206,15397,11275,16082,14212,11332,10266
2019-10-07,10611,10739,20255,15566,11279,16157,14237,11374,10359
2019-10-08,10705,10714,20446,15631,11314,16238,14265,11379,10403
2019-10-09,10671,10716,20611,15375,11291,16112,14215,11342,10258
2019-10-10,10670,10722,20420,15529,11293,16164,14256,11386,10345
2019-10-11,10764,10695,20410,15759,11346,16302,14433,11510,10491
2019-10-15,10931,10688,20377,15986,11368,16417,14755,11570,10652
2019-10-16,11007,10682,20589,16182,11381,16538,14822,11565,10769
2019-10-17,10958,10678,20539,16179,11405,16589,14919,11588,10773
2019-10-18,10942,10667,20469,16223,11426,16641,14972,11620,10800
2019-10-21,10988,10653,20675,16145,11420,16687,14890,11670,10754
2019-10-23,11052,10659,20676,16183,11380,16777,14998,11685,10788
2019-10-24,11090,10672,20577,16262,11425,16857,15022,11755,10835
2019-10-25,11121,10665,20573,16315,11424,16848,15085,11748,10870
2019-10-28,11121,10657,20569,16377,11396,16733,15105,11798,10906
2019-10-29,11218,10635,20661,16487,11383,16725,15220,11833,10982
2019-10-30,11239,10648,20575,16454,11383,16734,15198,11797,10964
2019-10-31,11247,10670,20628,16515,11426,16833,15216,11779,10999
2019-11-01,11244,10712,20715,16329,11397,16671,15047,11660,10884
2019-11-05,11431,10673,20736,16664,11403,16719,15495,11816,11116
2019-11-06,11433,10630,20484,16686,11374,16552,15639,11833,11140
2019-11-07,11458,10627,20515,16676,11376,16538,15584,11775,11132
2019-11-08,11488,10596,19991,16799,11348,16484,15734,11828,11213
2019-11-11,11496,10599,19929,16775,11303,16360,15540,11724,11183
2019-11-12,11535,10572,19543,16759,11305,16392,15397,11720,11166
2019-11-13,11471,10583,19368,16749,11273,16236,15370,11609,11153
2019-11-14,11364,10608,19488,16719,11287,16293,15205,11568,11115
2019-11-15,11447,10602,19725,16694,11304,16389,15163,11555,11103
2019-11-18,11474,10617,19884,16853,11340,16516,15282,11659,11202
2019-11-19,11447,10623,20113,16821,11326,16555,15270,11582,11181
2019-11-20,11409,10641,20473,16829,11341,16608,15358,11599,11190
2019-11-21,11398,10651,20461,16735,11339,16502,15251,11571,11129
2019-11-22,11411,10618,20313,16736,11341,16350,15216,11617,11128
2019-11-25,11490,10619,20281,16786,11350,16349,15272,11612,11165
2019-11-26,11508,10634,20408,16953,11375,16456,15382,11596,11267
2019-11-27,11544,10656,20533,17003,11405,16627,15327,11583,11291
2019-11-28,11524,10637,20516,17108,11414,16756,15426,11586,11354
2019-11-29,11465,10630,20435,17130,11431,16789,15420,11606,11361
2019-12-02,11568,10603,20339,17078,11447,16744,15263,11630,11328
2019-12-03,11514,10585,20164,16855,11361,16472,15189,11598,11198
2019-12-04,11491,10602,20111,16654,11380,16423,15050,11540,11075
2019-12-05,11546,10609,20079,16815,11386,16520,15102,11614,11169
2019-12-06,11560,10582,20102,16825,11366,16545,15203,11639,11184
2019-12-09,11618,10572,20039,16936,11314,16565,15258,11649,11252
2019-12-10,11609,10587,20026,16900,11337,16604,15270,11669,11233
2019-12-11,11569,10572,19881,16900,11357,16546,15279,11677,11231
2019-12-12,11555,10587,19867,16929,11380,16324,15390,11717,11256
2019-12-13,11739,10588,19588,17238,11463,16279,15737,11873,11466
2019-12-16,11717,10596,19445,17236,11474,16219,15911,11860,11478
2019-12-17,11787,10585,19447,17403,11465,16343,15958,11923,11577
2019-12-18,11727,10585,19417,17385,11461,16202,16154,11920,11580
2019-12-19,11712,10579,19524,17399,11440,16335,16284,11935,11599
2019-12-20,11691,10559,19430,17412,11401,16387,16214,11918,11597
2019-12-23,11667,10560,19503,17484,11384,16442,16224,11901,11635
2019-12-24,11658,10557,19582,17511,11386,16388,16284,11928,11654
2019-12-25,11612,10579,19732,17494,11379,16408,16238,11938,11639
2019-12-26,11678,10578,19887,17535,11408,16445,16279,11966,11669
2019-12-27,11709,10579,19868,17624,11431,16531,16337,11995,11723
2019-12-30,11629,10593,19839,17646,11482,16616,16415,12048,11736
2020-01-06,11467,10604,19887,17385,11361,16419,16238,11890,11569
2020-01-07,11653,10578,19807,17477,11401,16472,16154,11944,11624
2020-01-08,11493,10590,19587,17347,11305,16258,16088,11827,11539
2020-01-09,11680,10580,19694,17624,11411,16475,16280,12022,11717
2020-01-10,11720,10575,19724,17779,11433,16501,16553,12060,11828
2020-01-14,11757,10561,19754,17940,11508,16818,16888,12150,11947
2020-01-15,11693,10562,19695,17902,11500,16757,16817,12124,11916
2020-01-16,11677,10560,19827,17941,11538,16895,16749,12128,11930
2020-01-17,11723,10565,19947,18117,11563,17107,16848,12142,12036
2020-01-20,11782,10556,20055,18162,11520,17105,16918,12147,12071
2020-01-21,11719,10578,19997,18167,11525,17096,16901,12134,12067
2020-01-22,11781,10575,20163,18062,11524,17143,16565,12084,11985
2020-01-23,11689,10598,20198,18038,11518,17044,16653,12104,11974
2020-01-24,11689,10600,20278,17989,11529,17113,16460,12075,11932
